tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
tt1071875,Ghost Rider: Spirit of Vengeance,2011,96.0,"['Action', 'Fantasy', 'Thriller']",57000000.0,132563930.0,PG-13,2.0
tt1075747,Jonah Hex,2010,81.0,"['Action', 'Drama', 'Fantasy']",47000000.0,10903312.0,PG-13,6.0
tt1077368,Dark Shadows,2012,113.0,"['Comedy', 'Fantasy', 'Horror']",150000000.0,245527149.0,PG-13,5.0
tt1079964,Happiness Runs,2010,88.0,['Drama'],1200000.0,7199.0,Unrated,5.0
tt1082807,The Belko Experiment,2016,89.0,"['Horror', 'Thriller']",5000000.0,11084630.0,R,3.0
tt1085492,The Prince,2014,93.0,"['Action', 'Thriller']",18000000.0,1289595.0,R,8.0
tt1086772,Blended,2014,117.0,"['Comedy', 'Romance']",40000000.0,127994610.0,PG-13,5.0
tt1091191,Lone Survivor,2013,121.0,"['Action', 'Biography', 'Drama']",40000000.0,154802912.0,R,1.0
tt1092026,Paul,2011,104.0,"['Adventure', 'Comedy', 'Sci-Fi']",40000000.0,97984015.0,R,3.0
tt1093355,BuzzKill,2012,94.0,['Comedy'],1000000.0,5860.0,Unrated,1.0
tt1093357,The Darkest Hour,2011,89.0,"['Action', 'Adventure', 'Horror']",30000000.0,64626786.0,PG-13,12.0
tt1094666,Hamill,2010,108.0,"['Biography', 'Drama', 'Sport']",,30929.0,PG-13,10.0
tt1100051,Bereavement,2010,103.0,"['Crime', 'Horror', 'Thriller']",3600000.0,43712.0,R,7.0
tt1100089,Foxcatcher,2014,134.0,"['Biography', 'Drama', 'Sport']",24000000.0,19206513.0,R,1.0
tt1103153,Killers,2010,100.0,"['Action', 'Comedy', 'Romance']",75000000.0,98159963.0,PG-13,6.0
tt1103273,Peep World,2010,79.0,"['Comedy', 'Drama']",,14351.0,R,3.0
tt1104001,Tron,2010,125.0,"['Action', 'Adventure', 'Fantasy']",170000000.0,400063852.0,PG,12.0
tt1105355,Good Ol' Boy,2015,102.0,"['Comedy', 'Drama', 'Family']",2000000.0,35312.0,PG-13,2.0
tt1106860,Ca$h,2010,108.0,"['Crime', 'Thriller']",7000000.0,46488.0,R,3.0
tt1107319,Dirty Girl,2010,90.0,"['Comedy', 'Drama']",4000000.0,143485.0,R,6.0
tt1109488,Mars,2010,90.0,"['Animation', 'Comedy', 'Sci-Fi']",200000.0,128114.0,Unrated,12.0
tt1109574,Between Us,2012,90.0,['Drama'],,4380.0,R,10.0
tt1111235,Trance,2010,83.0,['Horror'],950000.0,24200000.0,R,3.0
tt1113829,George Harrison: Living in the Material World,2011,208.0,"['Biography', 'Documentary', 'Music']",,156113.0,Unrated,9.0
tt1116184,Jackass 3D,2010,95.0,"['Action', 'Comedy', 'Documentary']",20000000.0,171685792.0,R,10.0
tt1120985,Blue Valentine,2010,112.0,"['Drama', 'Romance']",1000000.0,15440333.0,R,1.0
tt1121096,Seventh Son,2014,102.0,"['Action', 'Adventure', 'Fantasy']",95000000.0,114178613.0,PG-13,2.0
tt1121986,Art of Submission,2012,119.0,"['Action', 'Drama']",4500000.0,9004.0,PG-13,9.0
tt1122614,And Everything Is Going Fine,2010,89.0,['Documentary'],,22080.0,Unrated,1.0
tt1124035,The Ides of March,2011,101.0,"['Drama', 'Thriller']",12500000.0,76338111.0,R,10.0
tt1124037,Free State of Jones,2016,139.0,"['Action', 'Biography', 'Drama']",50000000.0,25035950.0,R,6.0
tt1126590,Big Eyes,2014,106.0,"['Biography', 'Crime', 'Drama']",10000000.0,29253166.0,PG-13,12.0
tt1126591,Burlesque,2010,119.0,"['Drama', 'Music', 'Musical']",55000000.0,89520336.0,PG-13,11.0
tt1126618,Morning Glory,2010,107.0,"['Comedy', 'Drama', 'Romance']",40000000.0,60040976.0,PG-13,11.0
tt1127883,The Girl,2012,95.0,"['Crime', 'Drama', 'Thriller']",,35048.0,PG-13,4.0
tt1127886,Here,2011,126.0,"['Adventure', 'Drama', 'Romance']",,31428.0,Unrated,1.0
tt1129396,Radio Free Albemuth,2010,111.0,"['Drama', 'Sci-Fi']",3600000.0,9365.0,R,6.0
tt1129412,Circle,2010,88.0,"['Horror', 'Thriller']",2000000.0,10024.0,Unrated,9.0
tt1129427,Miss Nobody,2010,92.0,"['Comedy', 'Crime']",,90647.0,R,6.0
tt1130884,Shutter Island,2010,138.0,"['Mystery', 'Thriller']",80000000.0,294805697.0,R,2.0
