,tconst,primary_title,original_title,start_year,runtime_minutes,genres,country,budget,ww_gross,ww_currency,domestic_gross_x,domestic_currency,int_gross,int_currency,release_date_x,mpaa_rating,tmdb_id
89,tt0879870,Eat Pray Love,Eat Pray Love,2010,133.0,"Drama,Romance",US,"{'amount': 60000000, 'currency': 'USD'}",204594016.0,USD,80574010.0,USD,124020006.0,USD,2010-08-13,PG-13,
90,tt0882741,AIR: The Musical,AIR: The Musical,2010,100.0,"Comedy,Musical,Romance",US,,,,,,,,2010-04-06,Not Rated,273061.0
91,tt0884214,Wreckage,Wreckage,2010,87.0,"Horror,Thriller",US,"{'amount': 500000.0, 'currency': 'USD'}",,,,,,,2010,R,73085.0
92,tt0887161,Repo,Repo,2010,97.0,"Comedy,Drama",US,"{'amount': 4000000.0, 'currency': 'USD'}",,,,,,,2010,Not Rated,79915.0
93,tt0889573,The Switch,The Switch,2010,101.0,"Comedy,Drama,Romance",US,"{'amount': 19000000, 'currency': 'USD'}",49843011.0,USD,27779426.0,USD,22063585.0,USD,2010-08-20,PG-13,
94,tt0892318,Letters to Juliet,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",US,"{'amount': 30000000, 'currency': 'USD'}",79628830.0,USD,53032453.0,USD,26596377.0,USD,2010-05-14,PG,
95,tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",US,"{'amount': 165000000, 'currency': 'USD'}",494879471.0,USD,217581231.0,USD,277298240.0,USD,2010-03-26,PG,
96,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",US,"{'amount': 165000000, 'currency': 'USD'}",752600867.0,USD,238736787.0,USD,513864080.0,USD,2010-05-21,PG,
97,tt0899145,Don't Fade Away,Don't Fade Away,2010,89.0,Drama,US,"{'amount': 2400000.0, 'currency': 'USD'}",,,,,,,2011,,60524.0
98,tt0901504,Psych:9,Psych:9,2010,98.0,"Horror,Mystery,Thriller",US,"{'amount': 5000000.0, 'currency': 'USD'}",,,,,,,2010-10-12,R,55045.0
99,tt0902247,Acts of Violence,Acts of Violence,2010,,"Crime,Drama,Thriller",US,,,,,,,,2010-05,R,45015.0
100,tt0907731,Eager to Die,Eager to Die,2010,109.0,"Drama,Thriller",US,"{'amount': 12000000.0, 'currency': 'USD'}",,,,,,,2010-07-04,,144143.0
101,tt0910926,Movin' In,Movin' In,2010,95.0,"Comedy,Romance",US,"{'amount': 1500000.0, 'currency': 'USD'}",,,,,,,2010-08-18,Not Rated,
