,tconst,mpaa_rating,release_date
664,tt1479320,Not Rated,2011-10-14
665,tt1480285,R,2016-12-09
666,tt1480295,R,2013-07-12
667,tt1481572,R,2010-01-20
668,tt1482459,PG,2012-03-02
669,tt1482889,Unrated,2010-10-08
670,tt1482980,Not Rated,2013-04-12
671,tt1482991,TV-PG,2010-10-22
672,tt1483010,,2010-09-10
673,tt1483013,PG-13,2013-04-19
674,tt1483324,R,2013-05-17
675,tt1483756,PG-13,2012-03-23
676,tt1484522,R,2010-01-24
677,tt1485761,PG-13,2013-11-19
678,tt1485796,PG,2017-12-20
679,tt1486185,PG-13,2011-03-11
680,tt1486192,R,2012-04-27
681,tt1486843,Not Rated,2013-07-19
682,tt1488555,R,2011-08-05
683,tt1488602,R,2011-04-14
684,tt1489887,R,2019-05-24
685,tt1489889,PG-13,2016-06-17
686,tt1490017,PG,2014-02-07
687,tt1490678,Not Rated,2011-01-25
688,tt1490785,R,2016-04-01
689,tt1491044,R,2012-09-01
690,tt1492705,R,2018-03-30
691,tt1493157,R,2012-10-04
692,tt1496025,R,2012-01-20
693,tt1496422,R,2012-10-03
694,tt1497874,Not Rated,2010-03-13
695,tt1498569,PG-13,2011-09-16
696,tt1499302,Not Rated,2011-09-30
697,tt1499658,R,2011-07-08
698,tt1501652,R,2010-12-03
699,tt1502404,R,2011-02-25
700,tt1502407,R,2018-10-19
701,tt1502712,PG-13,2015-08-07
702,tt1502714,Unrated,2010-04-24
703,tt1504319,R,2011-01-15
704,tt1506940,Not Rated,2010-10-15
705,tt1507563,PG-13,2012-03-08
706,tt1507571,R,2017-12-01
707,tt1509130,Not Rated,2011-04-29
708,tt1509276,PG,2010-08-06
709,tt1509767,PG-13,2011-10-21
710,tt1510907,Not Rated,2010-04-23
711,tt1511425,R,2012-03-23
712,tt1512235,R,2011-04-01
713,tt1512240,R,2011-01-25
714,tt1515091,PG-13,2011-12-16
715,tt1515935,Not Rated,2010-05-07
716,tt1516577,Not Rated,2011-02-19
717,tt1517249,Not Rated,2013-04-20
718,tt1517260,PG-13,2013-03-29
719,tt1517451,R,2018-10-05
720,tt1517489,PG,2011-08-19
