,tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
1759,tt2180421,Jackpot,2012,95.0,Drama,"{'amount': 15000.0, 'currency': 'USD'}",1100800.0,,1.0
1760,tt2182032,Raça,2013,104.0,"Documentary,News",,11136.0,,5.0
1761,tt2182256,Premature,2014,93.0,"Comedy,Fantasy",,415863.0,R,7.0
1762,tt2182972,Song One,2014,86.0,"Drama,Music","{'amount': 6000000.0, 'currency': 'USD'}",408918.0,PG-13,1.0
1763,tt2183034,Earth to Echo,2014,91.0,"Adventure,Family,Sci-Fi","{'amount': 13000000, 'currency': 'USD'}",45681062.0,PG,7.0
1764,tt2184331,Una noche,2012,90.0,"Drama,Romance",,111903.0,Not Rated,4.0
1765,tt2184339,The Purge,2013,85.0,"Horror,Thriller","{'amount': 3000000, 'currency': 'USD'}",89328627.0,R,6.0
1766,tt2186663,36 Saints,2013,81.0,Thriller,,11640.0,R,9.0
1767,tt2186781,Five Dances,2013,83.0,"Drama,Music,Romance",,5788.0,TV-14,10.0
1768,tt2187884,Escape from Tomorrow,2013,90.0,"Drama,Fantasy,Horror",650.0,171962.0,Not Rated,1.0
1769,tt2191701,Grown Ups 2,2013,101.0,Comedy,"{'amount': 80000000, 'currency': 'USD'}",246984278.0,PG-13,7.0
1770,tt2194328,Finding Fela!,2014,119.0,"Biography,Documentary,History",,155228.0,Not Rated,1.0
1771,tt2195548,Prince Avalanche,2013,94.0,"Comedy,Drama","{'amount': 725000.0, 'currency': 'USD'}",442313.0,R,1.0
1772,tt2196055,Teenage,2013,78.0,"Documentary,History",,40169.0,Not Rated,3.0
1773,tt2197905,Dystopia: 2013,2012,122.0,Sci-Fi,"{'amount': 150000.0, 'currency': 'USD'}",1708.0,Not Rated,1.0
1774,tt2199571,Run All Night,2015,114.0,"Action,Drama,Thriller","{'amount': 50000000, 'currency': 'USD'}",71561644.0,R,3.0
1775,tt2201211,A Boy Called Sailboat,2018,92.0,"Comedy,Drama,Family",,23725.0,Not Rated,4.0
1776,tt2201548,A Teacher,2013,75.0,"Drama,Romance",100000.0,8348.0,Not Rated,9.0
1777,tt2202408,Transcendence,2012,98.0,Drama,"{'amount': 525000.0, 'currency': 'USD'}",103000000.0,Not Rated,6.0
1778,tt2203939,The Other Woman,2014,109.0,"Comedy,Romance","{'amount': 40000000, 'currency': 'USD'}",196710396.0,PG-13,4.0
1779,tt2204371,Somm,2012,94.0,Documentary,,174197.0,Not Rated,11.0
1780,tt2205401,Addicted,2014,106.0,"Drama,Thriller","{'amount': 5000000.0, 'currency': 'USD'}",17534314.0,R,10.0
1781,tt2205591,Runaway Slave,2012,108.0,"Documentary,History","{'amount': 100000.0, 'currency': 'USD'}",71737.0,PG,1.0
1782,tt2205697,Stuck in Love.,2012,97.0,"Comedy,Drama,Romance",,977671.0,R,4.0
1783,tt2205904,Generation Iron,2013,106.0,"Documentary,Drama,Sport",,901649.0,PG-13,9.0
1784,tt2206498,In Over My Head,2012,106.0,Comedy,"{'amount': 100000, 'currency': 'USD'}",19482.0,Not Rated,10.0
1785,tt2207006,The Obama Effect,2012,85.0,"Comedy,Drama","{'amount': 10000000.0, 'currency': 'USD'}",110904.0,PG-13,7.0
1786,tt2209418,Before Midnight,2013,109.0,"Drama,Romance","{'amount': 3000000.0, 'currency': 'USD'}",20994648.0,R,6.0
1787,tt2210463,Battle of the Damned,2013,88.0,"Action,Adventure,Horror",8000000.0,134452.0,R,8.0
1788,tt2210834,Jimmy P.,2013,117.0,"Biography,Drama,Thriller","{'amount': 10000000.0, 'currency': 'USD'}",1470582.0,Unrated,10.0
1789,tt2215151,Inequality for All,2013,89.0,Documentary,,1205273.0,PG,1.0
1790,tt2215285,Madea's Witness Protection,2012,114.0,"Comedy,Crime,Drama","{'amount': 20000000, 'currency': 'USD'}",66899242.0,PG-13,6.0
1791,tt2215719,Katy Perry: Part of Me,2012,93.0,"Documentary,Music","{'amount': 12000000, 'currency': 'USD'}",32726956.0,PG,7.0
1792,tt2219650,Seymour: An Introduction,2014,84.0,"Biography,Documentary,Music",,907742.0,PG,9.0
1793,tt2221640,Now You See Me,2012,98.0,"Drama,Horror,Thriller",,351700000.0,,
1794,tt2221784,Shepard & Dark,2012,92.0,"Biography,Documentary",,10278.0,Not Rated,10.0
1795,tt2222206,Dear Mr. Watterson,2013,89.0,Documentary,,23899.0,TV-PG,4.0
1796,tt2223990,Draft Day,2014,110.0,"Drama,Sport","{'amount': 25000000.0, 'currency': 'USD'}",29824199.0,PG-13,4.0
1797,tt2224004,Sweetwater,2013,95.0,"Thriller,Western","{'amount': 7000000.0, 'currency': 'USD'}",6147.0,R,10.0
